partition_kind,alpha,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,time
uniform_x,1/2,3,4,False,0.04801885319811061,0.03187323864373392,0.010422740025294662,0.016145614554376693,0.021450498618439257,0,"(0, 0, 0, 0)",1.0,1.0625,9.893725156784058
geometric_x,1/2,3,4,False,0.04801885319811061,0.033031134833803946,0.007553957776491171,0.014987718364306665,0.025477177057312776,11,"(1, 0, 1, 1)",1.6104903319492543,1.681792830507429,9.817951202392578
uniform_x,1/2,3,4,True,0.04801885319811061,0.024510243054245925,0.010422740025294662,0.023508610143864687,0.014087503028951263,0,"(0, 0, 0, 0)",1.0,1.0625,9.8076810836792
geometric_x,1/2,3,4,True,0.04801885319811061,0.021838262465232617,0.007553957776491171,0.026180590732877995,0.014284304688741447,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,9.835076808929443
uniform_x,1/2,5,4,False,0.04801885319811061,0.022004631387038523,0.010422740025294662,0.02601422181107209,0.011581891361743861,0,"(0, 0, 0, 0)",1.0,1.0625,9.812305212020874
geometric_x,1/2,5,4,False,0.04801885319811061,0.02307544318975844,0.007553957776491171,0.024943410008352172,0.01552148541326727,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,9.836485147476196
uniform_x,1/2,5,4,True,0.04801885319811061,0.012064651226631138,0.010422740025294662,0.03595420197147947,0.0016419112013364764,11,"(1, 0, 1, 1)",1.6875,1.75,9.358728885650635
geometric_x,1/2,5,4,True,0.04801885319811061,0.010250724537867028,0.007553957776491171,0.03776812866024358,0.002696766761375857,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,9.143802881240845
uniform_x,1/2,5,6,False,0.04801885319811061,0.034749341489033185,0.0027633102183522973,0.013269511709077426,0.031986031270680886,40,"(1, 0, 1, 0, 0, 0)",1.625,1.640625,39.13277196884155
geometric_x,1/2,5,6,False,0.04801885319811061,0.03798870112680691,0.0019372364815933578,0.0100301520713037,0.036051464645213555,2,"(0, 0, 0, 0, 1, 0)",1.0218971486541166,1.0330248790212284,39.807377338409424
uniform_x,1/2,5,6,True,0.04801885319811061,0.012127460663798337,0.0027633102183522973,0.035891392534312276,0.00936415044544604,15,"(0, 0, 1, 1, 1, 1)",1.234375,1.25,37.543216943740845
geometric_x,1/2,5,6,True,0.04801885319811061,0.010126845419484928,0.0019372364815933578,0.03789200777862568,0.008189608937891571,40,"(1, 0, 1, 0, 0, 0)",1.5422108254079407,1.559004400237837,37.49984288215637
uniform_x,1/2,3,8,False,0.04801885319811061,0.04489501978344528,0.0007011716473379505,0.0031238334146653293,0.044193848136107335,0,"(0, 0, 0, 0, 0, 0, 0, 0)",1.0,1.00390625,135.60309505462646
geometric_x,1/2,3,8,False,0.04801885319811061,0.046349166350692056,0.0004874400969089899,0.0016696868474185556,0.04586172625378307,0,"(0, 0, 0, 0, 0, 0, 0, 0)",1.0,1.0027112750502025,100.56368613243103
uniform_x,1/2,3,8,True,0.04801885319811061,0.024537782649870787,0.0007011716473379505,0.023481070548239825,0.023836611002532836,95,"(0, 1, 0, 1, 1, 1, 1, 1)",1.37109375,1.375,95.52406692504883
geometric_x,1/2,3,8,True,0.04801885319811061,0.021838262465232617,0.0004874400969089899,0.026180590732877995,0.021350822368323627,127,"(0, 1, 1, 1, 1, 1, 1, 1)",1.4103896082172707,1.4142135623730951,96.06365823745728
