source_run,partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,worst_candidate_plog,n_candidates
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,0,"(0, 0, 0)",1.0,1.125,0.0,0.125,1.0625,0.0625,0.03855030560180408,0.03789793847840303,-0.052734375,-0.026531219482421875,endpoint,1.0,0.0,2
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,1,"(0, 0, 1)",1.125,1.25,0.125,0.25,1.1875,0.1875,0.018705095368901917,0.026726488903918662,-0.076171875,-0.06938552856445312,endpoint,1.125,0.125,2
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,2,"(0, 1, 0)",1.25,1.375,0.25,0.375,1.3125,0.3125,0.02575541814841859,0.017734024613401844,-0.076171875,-0.09673595428466797,endpoint,1.375,0.375,2
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,3,"(0, 1, 1)",1.375,1.5,0.375,0.5,1.4375,0.4375,0.01528878153012476,0.009139939766743078,-0.099609375,-0.11205291748046875,endpoint,1.5,0.5,2
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,4,"(1, 0, 0)",1.5,1.625,0.5,0.625,1.5625,0.5625,0.03848734911380069,0.0028547046407227535,-0.076171875,-0.1179656982421875,D,1.6158854166666667,0.6158854166666666,3
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,5,"(1, 0, 1)",1.625,1.75,0.625,0.75,1.6875,0.6875,0.017331401145573824,0.0044752019747924515,-0.099609375,-0.11580371856689453,endpoint,1.625,0.625,2
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,6,"(1, 1, 0)",1.75,1.875,0.75,0.875,1.8125,0.8125,0.012856199170781372,0.010588992907771051,-0.099609375,-0.10741710662841797,endpoint,1.75,0.75,2
wall_surface_2026-03-18,uniform_x,1/2,1,3,False,7,"(1, 1, 1)",1.875,2.0,0.875,1.0,1.9375,0.9375,0.0385205527138441,0.017486659613173052,-0.123046875,-0.09369373321533203,endpoint,2.0,1.0,2
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,0,"(0, 0, 0)",1.0,1.0905077326652577,0.0,0.09050773266525766,1.0452538663326287,0.04525386633262883,0.038007769071102336,0.028589376782863427,-0.052001953125,-0.020097732543945312,endpoint,1.0,0.0,2
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,1,"(0, 0, 1)",1.0905077326652577,1.189207115002721,0.09050773266525766,0.18920711500272105,1.1398574238339894,0.13985742383398936,0.027299483324711733,0.024109223666507914,-0.075439453125,-0.055741310119628906,endpoint,1.0905077326652577,0.09050773266525766,2
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,2,"(0, 1, 0)",1.189207115002721,1.2968395546510096,0.18920711500272105,0.29683955465100964,1.2430233348268653,0.24302333482686536,0.016245928243657774,0.01943618790186159,-0.075439453125,-0.08357715606689453,endpoint,1.2968395546510096,0.29683955465100964,2
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,3,"(0, 1, 1)",1.2968395546510096,1.4142135623730951,0.29683955465100964,0.41421356237309503,1.3555265585120524,0.35552655851205234,0.010447727276608696,0.013365956955004022,-0.098876953125,-0.10336685180664062,endpoint,1.4142135623730951,0.41421356237309503,2
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,4,"(1, 0, 0)",1.4142135623730951,1.5422108254079407,0.41421356237309503,0.5422108254079409,1.478212193890518,0.47821219389051794,0.03798389912011756,0.007712637287687356,-0.075439453125,-0.11482715606689453,endpoint,1.5422108254079407,0.5422108254079409,2
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,5,"(1, 0, 1)",1.5422108254079407,1.681792830507429,0.5422108254079409,0.6817928305074291,1.6120018279576849,0.612001827957685,0.018120254667104558,0.0013646508561306289,-0.098876953125,-0.11788082122802734,D,1.6007486979166667,0.6007486979166666,3
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,6,"(1, 1, 0)",1.681792830507429,1.8340080864093424,0.6817928305074291,0.8340080864093424,1.7579004584583857,0.7579004584583858,0.01675560381097393,0.009648825112669018,-0.098876953125,-0.1114053726196289,endpoint,1.681792830507429,0.6817928305074291,2
wall_surface_2026-03-18,geometric_x,1/2,1,3,False,7,"(1, 1, 1)",1.8340080864093424,2.0,0.8340080864093424,1.0,1.9170040432046713,0.9170040432046712,0.03775336575564871,0.02189500374160438,-0.122314453125,-0.09572124481201172,endpoint,2.0,1.0,2
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,0,"(0, 0, 0)",1.0,1.0666666666666667,0.0,0.06666666666666667,1.0333333333333334,0.03333333333333333,0.03565913220758168,0.021695102756411677,-0.048828125,-0.015273094177246094,endpoint,1.0,0.0,2
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,1,"(0, 0, 1)",1.0666666666666667,1.1428571428571428,0.06666666666666667,0.14285714285714285,1.1047619047619048,0.10476190476190476,0.032075420542288784,0.020452820526202717,-0.07275390625,-0.04414653778076172,endpoint,1.0666666666666667,0.06666666666666667,2
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,2,"(0, 1, 0)",1.1428571428571428,1.2307692307692308,0.14285714285714285,0.23076923076923078,1.1868131868131868,0.18681318681318682,0.01162260001608607,0.01887540266829625,-0.07275390625,-0.06997489929199219,endpoint,1.1428571428571428,0.14285714285714285,2
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,3,"(0, 1, 1)",1.2307692307692308,1.3333333333333333,0.23076923076923078,0.3333333333333333,1.2820512820512822,0.28205128205128205,0.011925007963717147,0.01575381259377016,-0.0966796875,-0.09172916412353516,endpoint,1.2307692307692308,0.23076923076923078,2
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,4,"(1, 0, 0)",1.3333333333333333,1.4545454545454546,0.3333333333333333,0.45454545454545453,1.393939393939394,0.3939393939393939,0.035796334484238,0.012227270183162381,-0.07275390625,-0.10797882080078125,endpoint,1.4545454545454546,0.45454545454545453,2
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,5,"(1, 0, 1)",1.4545454545454546,1.6,0.45454545454545453,0.6,1.5272727272727273,0.5272727272727272,0.020098629509509115,0.004751329172247382,-0.0966796875,-0.11670398712158203,endpoint,1.6,0.6,2
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,6,"(1, 1, 0)",1.6,1.7777777777777777,0.6,0.7777777777777778,1.6888888888888889,0.6888888888888889,0.02009966260550546,0.006285911740829794,-0.0966796875,-0.11487960815429688,D,1.6022135416666667,0.6022135416666666,3
wall_surface_2026-03-18,harmonic_x,1/2,1,3,False,7,"(1, 1, 1)",1.7777777777777777,2.0,0.7777777777777778,1.0,1.8888888888888888,0.8888888888888888,0.035964847810087595,0.026804183800761505,-0.12060546875,-0.0980215072631836,endpoint,2.0,1.0,2
