source_run,partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,worst_candidate_plog,n_candidates
partition_2026-03-18,geometric_x,1/2,3,4,True,13,"(1, 1, 0, 1)",1.7562521603732995,1.8340080864093424,0.7562521603732995,0.8340080864093424,1.795130123391321,0.7951301233913209,0.011311737069520066,0.006104819153785839,-0.100830078125,-0.10940074920654297,endpoint,1.7562521603732995,0.7562521603732995,2
partition_2026-03-18,geometric_x,1/2,3,4,True,14,"(1, 1, 1, 0)",1.8340080864093424,1.9152065613971474,0.8340080864093424,0.9152065613971473,1.8746073239032448,0.8746073239032449,0.009733729202292636,0.008987405177557887,-0.10693359375,-0.1016378402709961,endpoint,1.9152065613971474,0.9152065613971473,2
partition_2026-03-18,geometric_x,1/2,3,4,True,15,"(1, 1, 1, 1)",1.9152065613971474,2.0,0.9152065613971473,1.0,1.9576032806985737,0.9576032806985737,0.021735968418280384,0.012002239215987746,-0.10693359375,-0.09142780303955078,endpoint,2.0,1.0,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,0,"(0, 0, 0, 0)",1.0,1.032258064516129,0.0,0.03225806451612903,1.0161290322580645,0.016129032258064516,0.019146393620264688,0.011063332012633565,-0.0263671875,-0.0077304840087890625,endpoint,1.0,0.0,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,1,"(0, 0, 0, 1)",1.032258064516129,1.0666666666666667,0.03225806451612903,0.06666666666666667,1.049462365591398,0.04946236559139785,0.008083061607631123,0.010917108877399105,-0.0263671875,-0.022818565368652344,endpoint,1.032258064516129,0.03225806451612903,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,2,"(0, 0, 1, 0)",1.0666666666666667,1.103448275862069,0.06666666666666667,0.10344827586206896,1.085057471264368,0.08505747126436781,0.013182707542074734,0.01071176380222057,-0.02685546875,-0.037301063537597656,endpoint,1.103448275862069,0.10344827586206896,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,3,"(0, 0, 1, 1)",1.103448275862069,1.1428571428571428,0.10344827586206896,0.14285714285714285,1.1231527093596059,0.12315270935960591,0.018986575998402096,0.010393976420544952,-0.032958984375,-0.05108451843261719,endpoint,1.1428571428571428,0.14285714285714285,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,4,"(0, 1, 0, 0)",1.1428571428571428,1.1851851851851851,0.14285714285714285,0.18518518518518517,1.164021164021164,0.164021164021164,0.015804091590655767,0.009638158249951428,-0.078125,-0.06406307220458984,endpoint,1.1428571428571428,0.14285714285714285,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,5,"(0, 1, 0, 1)",1.1851851851851851,1.2307692307692308,0.18518518518518517,0.23076923076923078,1.207977207977208,0.20797720797720798,0.006165933340704337,0.009135650045430684,-0.078125,-0.0761098861694336,endpoint,1.1851851851851851,0.18518518518518517,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,6,"(0, 1, 1, 0)",1.2307692307692308,1.28,0.23076923076923078,0.28,1.2553846153846153,0.2553846153846154,0.011468039275865627,0.00849832257113928,-0.078125,-0.08708000183105469,endpoint,1.28,0.28,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,7,"(0, 1, 1, 1)",1.28,1.3333333333333333,0.28,0.3333333333333333,1.3066666666666666,0.30666666666666664,0.019161030100124193,0.007692990824258565,-0.078125,-0.09679794311523438,endpoint,1.3333333333333333,0.3333333333333333,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,8,"(1, 0, 0, 0)",1.3333333333333333,1.391304347826087,0.3333333333333333,0.391304347826087,1.3623188405797102,0.36231884057971014,0.0190886063795352,0.006564984136645823,-0.086181640625,-0.10505962371826172,endpoint,1.391304347826087,0.391304347826087,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,9,"(1, 0, 0, 1)",1.391304347826087,1.4545454545454546,0.391304347826087,0.45454545454545453,1.4229249011857708,0.42292490118577075,0.019125039956596836,0.00517050561042209,-0.09228515625,-0.1116189956665039,endpoint,1.4545454545454546,0.45454545454545453,2
partition_2026-03-18,harmonic_x,1/2,3,4,True,10,"(1, 0, 1, 0)",1.4545454545454546,1.5238095238095237,0.45454545454545453,0.5238095238095238,1.4891774891774892,0.48917748917748916,0.017923226137002757,0.0034167685633517074,-0.09765625,-0.11618232727050781,endpoint,1.5238095238095237,0.5238095238095238,2
