source_run,partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,worst_candidate_plog,n_candidates
partition_2026-03-18,harmonic_x,1/2,3,4,False,6,"(0, 1, 1, 0)",1.2307692307692308,1.28,0.23076923076923078,0.28,1.2553846153846153,0.2553846153846154,0.00830187235330655,0.008455133394840842,-0.08203125,-0.08708000183105469,endpoint,1.28,0.28,2
partition_2026-03-18,harmonic_x,1/2,3,4,False,7,"(0, 1, 1, 1)",1.28,1.3333333333333333,0.28,0.3333333333333333,1.3066666666666666,0.30666666666666664,0.003828804630053012,0.00746233110968741,-0.0966796875,-0.09679794311523438,endpoint,1.3333333333333333,0.3333333333333333,2
partition_2026-03-18,harmonic_x,1/2,3,4,False,8,"(1, 0, 0, 0)",1.3333333333333333,1.391304347826087,0.3333333333333333,0.391304347826087,1.3623188405797102,0.36231884057971014,0.03153959539523653,0.006770673762328753,-0.0712890625,-0.10505962371826172,endpoint,1.391304347826087,0.391304347826087,2
partition_2026-03-18,harmonic_x,1/2,3,4,False,9,"(1, 0, 0, 1)",1.391304347826087,1.4545454545454546,0.391304347826087,0.45454545454545453,1.4229249011857708,0.42292490118577075,0.018705779278381542,0.005162761065891022,-0.0927734375,-0.1116189956665039,endpoint,1.4545454545454546,0.45454545454545453,2
partition_2026-03-18,harmonic_x,1/2,3,4,False,10,"(1, 0, 1, 0)",1.4545454545454546,1.5238095238095237,0.45454545454545453,0.5238095238095238,1.4891774891774892,0.48917748917748916,0.03159970632961107,0.0036982207292188523,-0.08203125,-0.11618232727050781,endpoint,1.5238095238095237,0.5238095238095238,2
partition_2026-03-18,harmonic_x,1/2,3,4,False,11,"(1, 0, 1, 1)",1.5238095238095237,1.6,0.5238095238095238,0.6,1.561904761904762,0.5619047619047619,0.03321969588946833,0.001619989559857255,-0.08203125,-0.1184091567993164,endpoint,1.6,0.6,2
partition_2026-03-18,harmonic_x,1/2,3,4,False,12,"(1, 1, 0, 0)",1.6,1.6842105263157894,0.6,0.6842105263157895,1.6421052631578947,0.6421052631578947,0.0332496477396627,0.0010708413589010726,-0.08203125,-0.1178121566772461,D,1.6119791666666667,0.6119791666666666,3
partition_2026-03-18,harmonic_x,1/2,3,4,False,13,"(1, 1, 0, 1)",1.6842105263157894,1.7777777777777777,0.6842105263157895,0.7777777777777778,1.7309941520467835,0.7309941520467836,0.01870551810248971,0.004891767237814046,-0.0966796875,-0.11390972137451172,endpoint,1.6842105263157894,0.6842105263157895,2
partition_2026-03-18,harmonic_x,1/2,3,4,False,14,"(1, 1, 1, 0)",1.7777777777777777,1.8823529411764706,0.7777777777777778,0.8823529411764706,1.8300653594771241,0.8300653594771242,0.013813750864675664,0.009459924628496177,-0.0966796875,-0.10601806640625,endpoint,1.7777777777777777,0.7777777777777778,2
partition_2026-03-18,harmonic_x,1/2,3,4,False,15,"(1, 1, 1, 1)",1.8823529411764706,2.0,0.8823529411764706,1.0,1.9411764705882353,0.9411764705882353,0.03341366228075533,0.016411603222099,-0.1181640625,-0.09329986572265625,endpoint,2.0,1.0,2
