exponent,q,depth,n_params,layer_dependent,single_err,opt_err,free_err,single_u,opt_u,free_u,improve,gap,improve_over_single,improve_over_available,Mopt,max_delta_abs,tau_continuous,tau_snapped,dyadic_loss,l1_delta,l2_delta,nnz_mopt10,nnz_1e3,n_zero,top2_mass,time
1/2,3,6,7,False,0.04801885319811061,0.03877637238662877,0.0027633102183522973,0.09603769254266492,0.07703802690912956,0.005526496436997874,0.009242480811481844,0.03601306216827647,0.19247608378630554,0.20422870223026113,0.006721426651565707,0.0068359375,0.03805245996686914,0.03877637238662877,0.00072391241975963,0.029052734375,0.013108782967440233,5,5,0,0.47058823529411764,30.331552982330322
1/2,3,6,37,True,0.04801885319811061,0.02451987340452581,0.0027633102183522973,0.09603769254266492,0.04899014761803938,0.005526496436997874,0.023498979793584802,0.021756563186173514,0.48936986680284594,0.5192508640122894,0.013460767227552423,0.013427734375,0.024387938586443406,0.02451987340452581,0.00013193481808240412,0.27294921875,0.05691880938777253,27,27,8,0.09838998211091235,29.22922921180725
1/2,5,6,11,False,0.04801885319811061,0.034749341489033185,0.0027633102183522973,0.09603769254266492,0.06928240312277284,0.005526496436997874,0.013269511709077426,0.031986031270680886,0.2763396213218924,0.2932129599022279,0.009412987613686703,0.009521484375,0.034632681946340504,0.034749341489033185,0.00011665954269268058,0.040771484375,0.018520926831084156,5,5,5,0.46706586826347307,30.436893939971924
1/2,5,6,61,True,0.04801885319811061,0.012127460663798337,0.0027633102183522973,0.09603769254266492,0.024036283130322723,0.005526496436997874,0.035891392534312276,0.00936415044544604,0.7474437672685712,0.7930827954128318,0.014870658555907232,0.014892578125,0.01186890848943363,0.012127460663798337,0.00025855217436470714,0.484375,0.08099215749756787,39,41,18,0.06149193548387097,29.601105213165283
