partition_kind,alpha,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,time,source_run
uniform_x,1/2,3,4,False,0.04801885319811061,0.03187323864373392,0.010422740025294662,0.016145614554376693,0.021450498618439257,0,"(0, 0, 0, 0)",1.0,1.0625,9.893725156784058,l1c_grid_2026-03-12
geometric_x,1/2,3,4,False,0.04801885319811061,0.033031134833803946,0.007553957776491171,0.014987718364306665,0.025477177057312776,11,"(1, 0, 1, 1)",1.6104903319492543,1.681792830507429,9.817951202392578,l1c_grid_2026-03-12
harmonic_x,1/2,3,4,False,0.04801885319811061,0.03349626844110273,0.007685177394208464,0.014522584757007878,0.025811091046894268,1,"(0, 0, 0, 1)",1.032258064516129,1.0666666666666667,10.00330901145935,harmonic_diag_v1
mirror_harmonic_x,1/2,3,4,False,0.04801885319811061,0.03349454809425883,0.018302927470747927,0.014524305103851783,0.015191620623510902,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,6.280684947967529,harmonic_diag_v2
uniform_x,1/2,3,4,True,0.04801885319811061,0.024510243054245925,0.010422740025294662,0.023508610143864687,0.014087503028951263,0,"(0, 0, 0, 0)",1.0,1.0625,9.8076810836792,l1c_grid_2026-03-12
geometric_x,1/2,3,4,True,0.04801885319811061,0.021838262465232617,0.007553957776491171,0.026180590732877995,0.014284304688741447,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,9.835076808929443,l1c_grid_2026-03-12
harmonic_x,1/2,3,4,True,0.04801885319811061,0.01922014925816906,0.007685177394208464,0.02879870393994155,0.011534971863960597,12,"(1, 1, 0, 0)",1.6,1.6842105263157894,9.707851886749268,harmonic_diag_v1
mirror_harmonic_x,1/2,3,4,True,0.04801885319811061,0.02832478560795559,0.018302927470747927,0.01969406759015502,0.010021858137207663,15,"(1, 1, 1, 1)",1.967741935483871,2.0,6.332988739013672,harmonic_diag_v2
uniform_x,1/2,5,4,False,0.04801885319811061,0.022004631387038523,0.010422740025294662,0.02601422181107209,0.011581891361743861,0,"(0, 0, 0, 0)",1.0,1.0625,9.812305212020874,l1c_grid_2026-03-12
geometric_x,1/2,5,4,False,0.04801885319811061,0.02307544318975844,0.007553957776491171,0.024943410008352172,0.01552148541326727,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,9.836485147476196,l1c_grid_2026-03-12
harmonic_x,1/2,5,4,False,0.04801885319811061,0.02249468263029177,0.007685177394208464,0.025524170567818843,0.014809505236083305,15,"(1, 1, 1, 1)",1.8823529411764706,2.0,9.923917770385742,harmonic_diag_v1
mirror_harmonic_x,1/2,5,4,False,0.04801885319811061,0.022183459405970805,0.018302927470747927,0.025835393792139807,0.003880531935222878,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,6.297060251235962,harmonic_diag_v2
uniform_x,1/2,5,4,True,0.04801885319811061,0.012064651226631138,0.010422740025294662,0.03595420197147947,0.0016419112013364764,11,"(1, 0, 1, 1)",1.6875,1.75,9.358728885650635,l1c_grid_2026-03-12
geometric_x,1/2,5,4,True,0.04801885319811061,0.010250724537867028,0.007553957776491171,0.03776812866024358,0.002696766761375857,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,9.143802881240845,l1c_grid_2026-03-12
harmonic_x,1/2,5,4,True,0.04801885319811061,0.010909944441184354,0.007685177394208464,0.037108908756926254,0.00322476704697589,7,"(0, 1, 1, 1)",1.28,1.3333333333333333,9.205074071884155,harmonic_diag_v1
mirror_harmonic_x,1/2,5,4,True,0.04801885319811061,0.018967941638976,0.018302927470747927,0.029050911559134612,0.0006650141682280723,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,6.326143980026245,harmonic_diag_v2
uniform_x,1/2,5,6,False,0.04801885319811061,0.034749341489033185,0.0027633102183522973,0.013269511709077426,0.031986031270680886,40,"(1, 0, 1, 0, 0, 0)",1.625,1.640625,39.13277196884155,l1c_grid_2026-03-12
geometric_x,1/2,5,6,False,0.04801885319811061,0.03798870112680691,0.0019372364815933578,0.0100301520713037,0.036051464645213555,2,"(0, 0, 0, 0, 1, 0)",1.0218971486541166,1.0330248790212284,39.807377338409424,l1c_grid_2026-03-12
harmonic_x,1/2,5,6,False,0.04801885319811061,0.03890086812369077,0.002225137210319355,0.00911798507441984,0.03667573091337142,39,"(1, 0, 0, 1, 1, 1)",1.4382022471910112,1.4545454545454546,40.09596800804138,harmonic_diag_v1
mirror_harmonic_x,1/2,5,6,False,0.04801885319811061,0.02755863343646477,0.005339397922687269,0.020460219761645842,0.0222192355137775,0,"(0, 0, 0, 0, 0, 0)",1.0,1.0307692307692307,26.6843581199646,harmonic_diag_v2
uniform_x,1/2,5,6,True,0.04801885319811061,0.012127460663798337,0.0027633102183522973,0.035891392534312276,0.00936415044544604,15,"(0, 0, 1, 1, 1, 1)",1.234375,1.25,37.543216943740845,l1c_grid_2026-03-12
geometric_x,1/2,5,6,True,0.04801885319811061,0.010126845419484928,0.0019372364815933578,0.03789200777862568,0.008189608937891571,40,"(1, 0, 1, 0, 0, 0)",1.5422108254079407,1.559004400237837,37.49984288215637,l1c_grid_2026-03-12
harmonic_x,1/2,5,6,True,0.04801885319811061,0.011028539342721267,0.002225137210319355,0.036990313855389347,0.00880340213240191,8,"(0, 0, 1, 0, 0, 0)",1.0666666666666667,1.0756302521008403,37.51532316207886,harmonic_diag_v1
mirror_harmonic_x,1/2,5,6,True,0.04801885319811061,0.019015751624031536,0.005339397922687269,0.029003101574079076,0.013676353701344266,47,"(1, 0, 1, 1, 1, 1)",1.8468468468468469,1.8571428571428572,24.887629747390747,harmonic_diag_v2
uniform_x,1/2,3,8,False,0.04801885319811061,0.04489501978344528,0.0007011716473379505,0.0031238334146653293,0.044193848136107335,0,"(0, 0, 0, 0, 0, 0, 0, 0)",1.0,1.00390625,135.60309505462646,l1c_grid_2026-03-12
geometric_x,1/2,3,8,False,0.04801885319811061,0.046349166350692056,0.0004874400969089899,0.0016696868474185556,0.04586172625378307,0,"(0, 0, 0, 0, 0, 0, 0, 0)",1.0,1.0027112750502025,100.56368613243103,l1c_grid_2026-03-12
harmonic_x,1/2,3,8,False,0.04801885319811061,0.047126467201876424,0.0005768207919281125,0.0008923859962341879,0.04654964640994831,192,"(1, 1, 0, 0, 0, 0, 0, 0)",1.6,1.6050156739811912,160.22499108314514,harmonic_diag_v1
mirror_harmonic_x,1/2,3,8,False,0.04801885319811061,0.04361704464572489,0.0013900246743922449,0.004401808552385721,0.042227019971332644,95,"(0, 1, 0, 1, 1, 1, 1, 1)",1.5413105413105412,1.5454545454545454,99.58862805366516,harmonic_diag_v2
uniform_x,1/2,3,8,True,0.04801885319811061,0.024537782649870787,0.0007011716473379505,0.023481070548239825,0.023836611002532836,95,"(0, 1, 0, 1, 1, 1, 1, 1)",1.37109375,1.375,95.52406692504883,l1c_grid_2026-03-12
geometric_x,1/2,3,8,True,0.04801885319811061,0.021838262465232617,0.0004874400969089899,0.026180590732877995,0.021350822368323627,127,"(0, 1, 1, 1, 1, 1, 1, 1)",1.4103896082172707,1.4142135623730951,96.06365823745728,l1c_grid_2026-03-12
harmonic_x,1/2,3,8,True,0.04801885319811061,0.01922014925816906,0.0005768207919281125,0.02879870393994155,0.01864332846624095,192,"(1, 1, 0, 0, 0, 0, 0, 0)",1.6,1.6050156739811912,154.1114149093628,harmonic_diag_v1
mirror_harmonic_x,1/2,3,8,True,0.04801885319811061,0.02832478560795559,0.0013900246743922449,0.01969406759015502,0.026934760933563347,255,"(1, 1, 1, 1, 1, 1, 1, 1)",1.9980430528375734,2.0,97.29224300384521,harmonic_diag_v2
