partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,n_candidates
uniform_x,1/2,5,3,False,0,"(0, 0, 0)",1.0,1.125,0.0,0.125,1.0625,0.0625,0.019390541347960057,0.038536934968224745,-0.0263671875,-0.026531219482421875,endpoint,0.125,2
uniform_x,1/2,5,3,False,1,"(0, 0, 1)",1.125,1.25,0.125,0.25,1.1875,0.1875,0.01933364729842147,0.027104898046200192,-0.06201171875,-0.06938552856445312,endpoint,0.25,2
uniform_x,1/2,5,3,False,2,"(0, 1, 0)",1.25,1.375,0.25,0.375,1.3125,0.3125,0.019249454289008417,0.017507483250272855,-0.083984375,-0.09673595428466797,endpoint,0.375,2
uniform_x,1/2,5,3,False,3,"(0, 1, 1)",1.375,1.5,0.375,0.5,1.4375,0.4375,0.016995103480527827,0.009202164626521014,-0.09765625,-0.11205291748046875,endpoint,0.5,2
uniform_x,1/2,5,3,False,4,"(1, 0, 0)",1.5,1.625,0.5,0.625,1.5625,0.5625,0.01922014925816906,0.002225045777641236,-0.09765625,-0.1179656982421875,D,0.6015625,3
uniform_x,1/2,5,3,False,5,"(1, 0, 1)",1.625,1.75,0.625,0.75,1.6875,0.6875,0.015333669405789514,0.004557114283435282,-0.101806640625,-0.11580371856689453,endpoint,0.625,2
uniform_x,1/2,5,3,False,6,"(1, 1, 0)",1.75,1.875,0.75,0.875,1.8125,0.8125,0.01346836002812887,0.011237111317343406,-0.115478515625,-0.10741710662841797,endpoint,0.875,2
uniform_x,1/2,5,3,False,7,"(1, 1, 1)",1.875,2.0,0.875,1.0,1.9375,0.9375,0.019209798904183534,0.01665354684298408,-0.1044921875,-0.09369373321533203,endpoint,1.0,2
geometric_x,1/2,5,3,False,0,"(0, 0, 0)",1.0,1.0905077326652577,0.0,0.09050773266525766,1.0452538663326287,0.04525386633262883,0.014811752836464818,0.029147673817802387,-0.019775390625,-0.020097732543945312,endpoint,0.09050773266525766,2
geometric_x,1/2,5,3,False,1,"(0, 0, 1)",1.0905077326652577,1.189207115002721,0.09050773266525766,0.18920711500272105,1.1398574238339894,0.13985742383398936,0.013125387484168246,0.02448954440639483,-0.056884765625,-0.055741310119628906,endpoint,0.09050773266525766,2
geometric_x,1/2,5,3,False,2,"(0, 1, 0)",1.189207115002721,1.2968395546510096,0.18920711500272105,0.29683955465100964,1.2430233348268653,0.24302333482686536,0.014658602392449021,0.019389482156864098,-0.077392578125,-0.08357715606689453,endpoint,0.29683955465100964,2
geometric_x,1/2,5,3,False,3,"(0, 1, 1)",1.2968395546510096,1.4142135623730951,0.29683955465100964,0.41421356237309503,1.3555265585120524,0.35552655851205234,0.014600152862591169,0.013504802338829244,-0.093994140625,-0.10336685180664062,endpoint,0.41421356237309503,2
geometric_x,1/2,5,3,False,4,"(1, 0, 0)",1.4142135623730951,1.5422108254079407,0.41421356237309503,0.5422108254079409,1.478212193890518,0.47821219389051794,0.014575743905358268,0.006833516526916712,-0.10205078125,-0.11482715606689453,endpoint,0.5422108254079409,2
geometric_x,1/2,5,3,False,5,"(1, 0, 1)",1.5422108254079407,1.681792830507429,0.5422108254079409,0.6817928305074291,1.6120018279576849,0.612001827957685,0.014596830567145095,0.0014577487791944143,-0.102783203125,-0.11788082122802734,D,0.59814453125,3
geometric_x,1/2,5,3,False,6,"(1, 1, 0)",1.681792830507429,1.8340080864093424,0.6817928305074291,0.8340080864093424,1.7579004584583857,0.7579004584583858,0.006245088319338068,0.010303002061743439,-0.112548828125,-0.1114053726196289,endpoint,0.8340080864093424,2
geometric_x,1/2,5,3,False,7,"(1, 1, 1)",1.8340080864093424,2.0,0.8340080864093424,1.0,1.9170040432046713,0.9170040432046712,0.01467381075947635,0.020593469691610584,-0.10009765625,-0.09572124481201172,endpoint,1.0,2
uniform_x,1/2,5,4,False,0,"(0, 0, 0, 0)",1.0,1.0625,0.0,0.0625,1.03125,0.03125,0.022004631387038523,0.020659344042528362,-0.0302734375,-0.01439666748046875,endpoint,0.0,2
uniform_x,1/2,5,4,False,1,"(0, 0, 0, 1)",1.0625,1.125,0.0625,0.125,1.09375,0.09375,0.019998721772620704,0.01747636729617352,-0.05517578125,-0.040305137634277344,endpoint,0.0625,2
uniform_x,1/2,5,4,False,2,"(0, 0, 1, 0)",1.125,1.1875,0.125,0.1875,1.15625,0.15625,0.021735968418280384,0.014522279915072142,-0.080078125,-0.061507225036621094,endpoint,0.125,2
uniform_x,1/2,5,4,False,3,"(0, 0, 1, 1)",1.1875,1.25,0.1875,0.25,1.21875,0.21875,0.0070208277261161415,0.012102144757793112,-0.079833984375,-0.07861614227294922,endpoint,0.1875,2
uniform_x,1/2,5,4,False,4,"(0, 1, 0, 0)",1.25,1.3125,0.25,0.3125,1.28125,0.28125,0.00515758797894904,0.009677214801113323,-0.092529296875,-0.09213829040527344,endpoint,0.25,2
uniform_x,1/2,5,4,False,5,"(0, 1, 0, 1)",1.3125,1.375,0.3125,0.375,1.34375,0.34375,0.010255576790609625,0.0075472434152682785,-0.0947265625,-0.10249614715576172,endpoint,0.375,2
uniform_x,1/2,5,4,False,6,"(0, 1, 1, 0)",1.375,1.4375,0.375,0.4375,1.40625,0.40625,0.01792027640143448,0.005615707587822129,-0.09228515625,-0.11004638671875,endpoint,0.4375,2
uniform_x,1/2,5,4,False,7,"(0, 1, 1, 1)",1.4375,1.5,0.4375,0.5,1.46875,0.46875,0.021677109492672226,0.003756833091237748,-0.09228515625,-0.11509037017822266,endpoint,0.5,2
uniform_x,1/2,5,4,False,8,"(1, 0, 0, 0)",1.5,1.5625,0.5,0.5625,1.53125,0.53125,0.012362651282416376,0.0017766878000809372,-0.10498046875,-0.11788749694824219,endpoint,0.5625,2
uniform_x,1/2,5,4,False,9,"(1, 0, 0, 1)",1.5625,1.625,0.5625,0.625,1.59375,0.59375,0.0218576176667072,0.0003570694920758079,-0.0947265625,-0.11873340606689453,D,0.603515625,3
uniform_x,1/2,5,4,False,10,"(1, 0, 1, 0)",1.625,1.6875,0.625,0.6875,1.65625,0.65625,0.021760925782430423,0.0013629512203641174,-0.0947265625,-0.1176004409790039,endpoint,0.625,2
uniform_x,1/2,5,4,False,11,"(1, 0, 1, 1)",1.6875,1.75,0.6875,0.75,1.71875,0.71875,0.00620336486402277,0.003408579244180818,-0.11962890625,-0.11487865447998047,endpoint,0.75,2
uniform_x,1/2,5,4,False,12,"(1, 1, 0, 0)",1.75,1.8125,0.75,0.8125,1.78125,0.78125,0.008767078215141288,0.0049015765120237614,-0.1171875,-0.1106405258178711,endpoint,0.8125,2
uniform_x,1/2,5,4,False,13,"(1, 1, 0, 1)",1.8125,1.875,0.8125,0.875,1.84375,0.84375,0.014929563773116838,0.006401006686218121,-0.116943359375,-0.10501670837402344,endpoint,0.875,2
uniform_x,1/2,5,4,False,14,"(1, 1, 1, 0)",1.875,1.9375,0.875,0.9375,1.90625,0.90625,0.010408270861523848,0.007610422041677407,-0.104736328125,-0.09812164306640625,endpoint,0.9375,2
uniform_x,1/2,5,4,False,15,"(1, 1, 1, 1)",1.9375,2.0,0.9375,1.0,1.96875,0.96875,0.021735968418280384,0.009103794509895638,-0.10693359375,-0.0900564193725586,endpoint,1.0,2
geometric_x,1/2,5,4,False,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,0.0,0.04427378242741384,1.022136891213707,0.02213689121370692,0.015759574769876807,0.015015214081468282,-0.021728515625,-0.01044464111328125,endpoint,0.0,2
geometric_x,1/2,5,4,False,1,"(0, 0, 0, 1)",1.0442737824274138,1.0905077326652577,0.04427378242741384,0.09050773266525766,1.0673907575463357,0.06739075754633575,0.01849898676300359,0.013885491965881354,-0.045654296875,-0.030208587646484375,endpoint,0.04427378242741384,2
geometric_x,1/2,5,4,False,2,"(0, 0, 1, 0)",1.0905077326652577,1.1387886347566916,0.09050773266525766,0.13878863475669165,1.1146481837109747,0.11464818371097465,0.022808390587765782,0.012656295112307153,-0.069580078125,-0.048061370849609375,endpoint,0.09050773266525766,2
geometric_x,1/2,5,4,False,3,"(0, 0, 1, 1)",1.1387886347566916,1.189207115002721,0.13878863475669165,0.18920711500272105,1.1639978748797064,0.16399787487970635,0.010152095475458629,0.011573849511795463,-0.069580078125,-0.0639791488647461,endpoint,0.13878863475669165,2
geometric_x,1/2,5,4,False,4,"(0, 1, 0, 0)",1.189207115002721,1.241857812073484,0.18920711500272105,0.24185781207348406,1.2155324635381026,0.21553246353810257,0.008010170271189271,0.01027451439236901,-0.08154296875,-0.07793426513671875,endpoint,0.18920711500272105,2
geometric_x,1/2,5,4,False,5,"(0, 1, 0, 1)",1.241857812073484,1.2968395546510096,0.24185781207348406,0.29683955465100964,1.269348683362247,0.2693486833622469,0.007369157088197241,0.008865252196604983,-0.093505859375,-0.08989620208740234,endpoint,0.24185781207348406,2
geometric_x,1/2,5,4,False,6,"(0, 1, 1, 0)",1.2968395546510096,1.3542555469368927,0.29683955465100964,0.3542555469368927,1.3255475507939511,0.3255475507939512,0.018939019563710777,0.007659294573786602,-0.08154296875,-0.09983348846435547,endpoint,0.3542555469368927,2
