kind,q,depth,layer_dependent,layer0_fit_gap_inf,layer0_fit_gap_2,layer0_excess_inf,layer0_excess_2,e_0_inf,e_final_inf,time
uniform_x,3,4,False,0.015527725219726562,0.05975530623301091,0.006057262420654297,0.016703938641351238,0.05640411376953125,0.03439140319824219,8.114251136779785
uniform_x,3,4,True,0.012598037719726562,0.059409944272223104,0.00019788742065429688,0.016525227769746062,0.05054473876953125,0.02693653106689453,8.810028791427612
uniform_x,3,6,False,0.021071434020996094,0.09490478420387713,0.021071434020996094,0.021492954058579344,0.07747173309326172,0.04755592346191406,33.00043487548828
uniform_x,3,6,True,0.025018692016601562,0.23045080250730876,0.009202003479003906,0.105555210793289,0.06560230255126953,0.02986431121826172,30.24075698852539
uniform_x,3,8,False,0.02753305435180664,0.3904176485327537,0.014297008514404297,0.15958209008381863,0.07227039337158203,0.06030750274658203,127.85578918457031
uniform_x,3,8,True,0.01166391372680664,0.2556531948030984,0.005019664764404297,0.07506920419078367,0.06299304962158203,0.03271961212158203,117.85186100006104
uniform_x,5,4,False,0.011865615844726562,0.05364659794975543,0.002883434295654297,0.013657882142296893,0.05323028564453125,0.02400684356689453,8.132079839706421
uniform_x,5,4,True,0.013574600219726562,0.06835614813226369,0.003708362579345703,0.02138967247528112,0.054055213928222656,0.012776374816894531,8.187004089355469
uniform_x,5,6,False,0.020827293395996094,0.10801777126133692,0.020827293395996094,0.027452249598925504,0.07722759246826172,0.04288768768310547,32.269887924194336
uniform_x,5,6,True,0.008620262145996094,0.07578035833077665,0.008620262145996094,0.013954577269592344,0.06502056121826172,0.013368606567382812,31.818352937698364
uniform_x,5,8,False,0.02509164810180664,0.3604465602954459,0.018447399139404297,0.13901473484492755,0.07642078399658203,0.05915546417236328,128.21478295326233
uniform_x,5,8,True,0.014052867889404297,0.08627909614137037,0.014052867889404297,0.009249327581613398,0.07202625274658203,0.015329360961914062,121.96251797676086
geometric_x,3,4,False,0.014708518981933594,0.059840905736690896,0.013188362121582031,0.017356929448084105,0.06182098388671875,0.036377906799316406,8.374207973480225
