kind,depth,corr_inf,corr_l2,nrmse_inf,nrmse_l2,residual_norm_inf,residual_norm_2
uniform_x,4,0.8716417433430568,0.8694044661731226,0.46443354803975706,0.4941010769045415,0.05034685134887695,0.10513862556098415
uniform_x,5,0.8734463527164639,0.8703188762290212,0.4497407298058501,0.4924886330459346,0.05434226989746094,0.1545905716811887
uniform_x,6,0.8742339684338252,0.8705771207243714,0.441801708156184,0.49203198765046074,0.056400299072265625,0.22323655179071528
uniform_x,7,0.8745888056752745,0.8706386447616912,0.4376627651257407,0.49192311416269685,0.05744600296020508,0.3191634526977838
uniform_x,8,0.8747566416628306,0.87065519713321,0.43556737285279745,0.4918938175103764,0.057973384857177734,0.4538774911712452
geometric_x,4,0.8535037930443516,0.8575829961444419,0.5063944218516815,0.5143456082479192,0.04863262176513672,0.09773669760284094
geometric_x,5,0.8513482070856963,0.8575975226246237,0.5019921881547015,0.514321387060764,0.05210399627685547,0.14167036902140503
geometric_x,6,0.8501510259417828,0.8576095803065925,0.49888993425814465,0.5143012811245474,0.053830623626708984,0.20287648358882598
geometric_x,7,0.849482872854893,0.8576158091937423,0.49716998984588323,0.5142908941649292,0.054691314697265625,0.28874191678499506
geometric_x,8,0.8491280851975088,0.857616991871796,0.4962700692037508,0.5142889219619385,0.05512094497680664,0.40965637592879944
harmonic_x,4,0.8119506878951983,0.8273368225619956,0.5892049696113248,0.5617061349433714,0.044533729553222656,0.08742122028615118
harmonic_x,5,0.8070065826457433,0.8261190783530921,0.5904506938234064,0.5634955797351366,0.04761695861816406,0.12602811729640617
harmonic_x,6,0.8049447608873909,0.8258083470920056,0.5887742991135752,0.5639508612221185,0.049137115478515625,0.18004773554595244
harmonic_x,7,0.8040378260096986,0.8257310972503972,0.5873023446697272,0.564063963601342,0.049890995025634766,0.2559801240354913
harmonic_x,8,0.8036013019799353,0.8257106561633292,0.5864388018581126,0.5640938860671385,0.05026674270629883,0.36299573031265603
mirror_harmonic_x,4,0.8604485627600772,0.8386436938229165,0.4783430228779937,0.5446804152997005,0.0467376708984375,0.11097151774036605
mirror_harmonic_x,5,0.8775072155401877,0.8443263647861453,0.434742668959979,0.5358292542657712,0.05242490768432617,0.17180834193751787
mirror_harmonic_x,6,0.8856935947479914,0.8457297073983201,0.41263650363211846,0.5336115272592528,0.05574989318847656,0.25595682659851593
mirror_harmonic_x,7,0.8897856949914361,0.8460775243537864,0.4013838800737409,0.5330598679166982,0.05754852294921875,0.3722133179886515
mirror_harmonic_x,8,0.8918335728422434,0.8461638533231982,0.39571661144779025,0.532922821175111,0.058485984802246094,0.5340187746883487
