partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,worst_candidate_plog,n_candidates
geometric_x,1/2,5,6,False,43,"(1, 0, 1, 0, 1, 1)",1.593142151342267,1.6104903319492543,0.5931421513422669,0.6104903319492543,1.6018162416457606,0.6018162416457606,0.025807802933905742,3.720420102552906e-05,-0.09033203125,-0.11883258819580078,D,1.6064453125,0.6064453125,3
geometric_x,1/2,5,6,False,44,"(1, 0, 1, 1, 0, 0)",1.6104903319492543,1.6280274218573478,0.6104903319492543,0.6280274218573477,1.619258876903301,0.6192588769033011,0.013015059564329315,0.00016438445493851685,-0.1044921875,-0.11864471435546875,endpoint,1.6104903319492543,0.6104903319492543,2
geometric_x,1/2,5,6,False,45,"(1, 0, 1, 1, 0, 1)",1.6280274218573478,1.645755478153965,0.6280274218573477,0.6457554781539648,1.6368914500056564,0.6368914500056563,0.006377476060603779,0.00033289488084962634,-0.111572265625,-0.118316650390625,endpoint,1.6280274218573478,0.6280274218573477,2
geometric_x,1/2,5,6,False,46,"(1, 0, 1, 1, 1, 0)",1.645755478153965,1.6636765803267364,0.6457554781539648,0.6636765803267365,1.6547160292403507,0.6547160292403507,0.019034874045015613,0.0003941609271579726,-0.097412109375,-0.11784648895263672,endpoint,1.645755478153965,0.6457554781539648,2
geometric_x,1/2,5,6,False,47,"(1, 0, 1, 1, 1, 1)",1.6636765803267364,1.681792830507429,0.6636765803267365,0.6817928305074291,1.6727347054170827,0.6727347054170828,0.01864071311785764,0.0005312474203986907,-0.097412109375,-0.1172342300415039,endpoint,1.6636765803267364,0.6636765803267365,2
geometric_x,1/2,5,6,False,48,"(1, 1, 0, 0, 0, 0)",1.681792830507429,1.7001063537185235,0.6817928305074291,0.7001063537185235,1.6909495921129762,0.6909495921129762,0.02463528051908741,0.0006330376199811325,-0.09033203125,-0.11647796630859375,endpoint,1.681792830507429,0.6817928305074291,2
geometric_x,1/2,5,6,False,49,"(1, 1, 0, 0, 0, 1)",1.7001063537185235,1.718619298122478,0.7001063537185235,0.7186192981224779,1.7093628259205007,0.7093628259205007,0.02400224289910628,0.0007755523705638781,-0.09033203125,-0.11557674407958984,endpoint,1.7001063537185235,0.7001063537185235,2
geometric_x,1/2,5,6,False,50,"(1, 1, 0, 0, 1, 0)",1.718619298122478,1.7373338352737062,0.7186192981224779,0.7373338352737062,1.7279765666980922,0.7279765666980921,0.023226690528542402,0.0009213446166570983,-0.09033203125,-0.1145315170288086,endpoint,1.718619298122478,0.7186192981224779,2
geometric_x,1/2,5,6,False,51,"(1, 1, 0, 0, 1, 1)",1.7373338352737062,1.7562521603732995,0.7373338352737062,0.7562521603732995,1.7467929978235028,0.7467929978235028,0.015661657668114858,0.001111648075657557,-0.097412109375,-0.11334037780761719,endpoint,1.7373338352737062,0.7373338352737062,2
geometric_x,1/2,5,6,False,52,"(1, 1, 0, 1, 0, 0)",1.7562521603732995,1.7753764925265212,0.7562521603732995,0.7753764925265213,1.7658143264499104,0.7658143264499103,0.021234826026767364,0.0012231882514724447,-0.09033203125,-0.11200141906738281,endpoint,1.7562521603732995,0.7562521603732995,2
geometric_x,1/2,5,6,False,53,"(1, 1, 0, 1, 0, 1)",1.7753764925265212,1.7947090750031072,0.7753764925265213,0.7947090750031072,1.7850427837648142,0.7850427837648142,0.026707330739864425,0.00133676735225005,-0.083251953125,-0.11051559448242188,endpoint,1.7753764925265212,0.7753764925265213,2
geometric_x,1/2,5,6,False,54,"(1, 1, 0, 1, 1, 0)",1.7947090750031072,1.8142521755003989,0.7947090750031072,0.8142521755003987,1.804480625251753,0.804480625251753,0.025370563387614373,0.0014957495854006468,-0.083251953125,-0.10888099670410156,endpoint,1.7947090750031072,0.7947090750031072,2
geometric_x,1/2,5,6,False,55,"(1, 1, 0, 1, 1, 1)",1.8142521755003989,1.8340080864093424,0.8142521755003987,0.8340080864093424,1.8241301309548705,0.8241301309548706,0.0170927043598448,0.001703326246760117,-0.09033203125,-0.10709667205810547,endpoint,1.8142521755003989,0.8142521755003987,2
geometric_x,1/2,5,6,False,56,"(1, 1, 1, 0, 0, 0)",1.8340080864093424,1.8539791250833855,0.8340080864093424,0.8539791250833856,1.843993605746364,0.8439936057463641,0.022216263285063535,0.001825299508136109,-0.083251953125,-0.10516166687011719,endpoint,1.8340080864093424,0.8340080864093424,2
geometric_x,1/2,5,6,False,57,"(1, 1, 1, 0, 0, 1)",1.8539791250833855,1.8741676341103,0.8539791250833856,0.8741676341102999,1.8640733795968427,0.8640733795968427,0.020390963776927427,0.0019961317956851536,-0.083251953125,-0.10307598114013672,endpoint,1.8539791250833855,0.8539791250833856,2
geometric_x,1/2,5,6,False,58,"(1, 1, 1, 0, 1, 0)",1.8741676341103,1.8945759815869656,0.8741676341102999,0.8945759815869656,1.8843718078486327,0.8843718078486328,0.018394831981242272,0.002171188831622191,-0.083251953125,-0.10083770751953125,endpoint,1.8741676341103,0.8741676341102999,2
geometric_x,1/2,5,6,False,59,"(1, 1, 1, 0, 1, 1)",1.8945759815869656,1.9152065613971474,0.8945759815869656,0.9152065613971473,1.9048912714920565,0.9048912714920565,0.016223643149620083,0.002350618643655596,-0.083251953125,-0.09844589233398438,endpoint,1.8945759815869656,0.8945759815869656,2
geometric_x,1/2,5,6,False,60,"(1, 1, 1, 1, 0, 0)",1.9152065613971474,1.9360617934922943,0.9152065613971473,0.9360617934922945,1.9256341774447208,0.9256341774447209,0.02085635646322453,0.0024844337321234078,-0.076171875,-0.0959005355834961,endpoint,1.9152065613971474,0.9152065613971473,2
geometric_x,1/2,5,6,False,61,"(1, 1, 1, 1, 0, 1)",1.9360617934922943,1.9571441241754002,0.9360617934922945,0.9571441241754003,1.9466029588338474,0.9466029588338474,0.011338448283682854,0.0027232239353351716,-0.083251953125,-0.0931997299194336,endpoint,1.9360617934922943,0.9360617934922945,2
geometric_x,1/2,5,6,False,62,"(1, 1, 1, 1, 1, 0)",1.9571441241754002,1.978456026387951,0.9571441241754003,0.9784560263879509,1.9678000752816756,0.9678000752816757,0.0086836406412937,0.0030238231993628788,-0.097412109375,-0.09034252166748047,endpoint,1.978456026387951,0.9784560263879509,2
