exponent,q,depth,n_params,layer_dependent,single_err,opt_err,free_err,single_u,opt_u,free_u,improve,gap,improve_over_single,improve_over_available,Mopt,max_delta_abs,tau_continuous,tau_snapped,dyadic_loss,l1_delta,l2_delta,nnz_mopt10,nnz_1e3,n_zero,top2_mass,time
1/2,5,4,11,False,0.04801885319811061,0.022004631387038523,0.010422740025294662,0.09603769254266492,0.04386224905374572,0.020845298108082607,0.02601422181107209,0.011581891361743861,0.5417501684962286,0.6919391292257785,0.012543081552921661,0.012451171875,0.021727051925589724,0.022004631387038523,0.00027757946144879933,0.06201171875,0.026908683073154013,6,6,4,0.4015748031496063,6.290684938430786
1/2,5,5,11,False,0.04801885319811061,0.024053055169944257,0.005419629112361607,0.09603769254266492,0.04806636429929058,0.01083899341043164,0.023965798028166355,0.01863342605758265,0.49909142830402564,0.5625876654449157,0.016065348655029073,0.01611328125,0.023854340552073146,0.024053055169944257,0.00019871461787111105,0.05712890625,0.02687543646879402,5,5,4,0.5641025641025641,12.878391981124878
1/2,5,6,11,False,0.04801885319811061,0.034749341489033185,0.0027633102183522973,0.09603769254266492,0.06928240312277284,0.005526496436997874,0.013269511709077426,0.031986031270680886,0.2763396213218924,0.2932129599022279,0.009412987613686703,0.009521484375,0.034632681946340504,0.034749341489033185,0.00011665954269268058,0.040771484375,0.018520926831084156,5,5,5,0.46706586826347307,27.697789907455444
1/2,5,7,11,False,0.04801885319811061,0.04109086836285988,0.0013952675075605118,0.09603769254266492,0.0819734167254734,0.0027903771702885985,0.006927984835250735,0.039695600855299364,0.14427634926365399,0.1485939944909671,0.005080423162326021,0.005126953125,0.040978001578204755,0.04109086836285988,0.00011286678465512179,0.015380859375,0.00888014330052403,3,3,7,0.6666666666666666,58.86410999298096
1/2,5,8,11,False,0.04801885319811061,0.044799322009964296,0.0007011716473379505,0.09603769254266492,0.08906508144649185,0.0014020187682387583,0.0032195311881463157,0.04409815036262635,0.06704723194582651,0.06804076367714054,0.002637680319676275,0.002685546875,0.04440836759836907,0.044799322009964296,0.00039095441159522903,0.015625,0.0063944340105999975,6,6,4,0.34375,121.70099401473999
1/2,5,9,11,False,0.04801885319811061,0.04653711660968832,0.00035157537319684427,0.09603769254266492,0.09243790642686026,0.0007027230544726134,0.0014817365884222944,0.046185541236491476,0.030857392247772297,0.03108498441771412,0.0013437473761950883,0.00146484375,0.04619055124730506,0.04653711660968832,0.0003465653623832554,0.005615234375,0.00281556703971455,4,4,6,0.5217391304347826,240.65442085266113
1/2,5,10,11,False,0.04801885319811061,0.04740464229506214,0.00017612098427402406,0.09603769254266492,0.09424665226236147,0.00035179071336184826,0.0006142109030484733,0.04722852131078811,0.012791036481326058,0.012838123464671974,0.000678186049444772,0.000732421875,0.0470987318068794,0.04740464229506214,0.0003059104881827368,0.002685546875,0.0013593174713940482,4,0,6,0.5454545454545454,479.9820489883423
