depth,q,kind,layer_mode,n_draws,rank_tol,rng_seed,xi_tie_seed,p,jsd_floor,wall_fsm,wall_quantile,wall_zscore,xi_fsm,xi_quantile,xi_zscore,n_fallbacks_fsm,n_fallbacks_ensemble,centroid_eps,entropy_eps,tailmass_eps,centroid_dstar,entropy_dstar,tailmass_dstar,centroid_fsm,entropy_fsm,tailmass_fsm,centroid_quantile,centroid_zscore,entropy_quantile,entropy_zscore,tailmass_quantile,tailmass_zscore,jsd_fsm,jsd_quantile,jsd_zscore,cosine_fsm,cosine_quantile,cosine_zscore
9,2,geometric_x,LI,1000,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.05624198913574221,0.0,-14749.862468910058,-0.22155377363859108,0.0,-658.6563083751697,1,1000,0.33332636256439085,0.66764120310656,1.4800554311243525e-07,0.16651221329638458,0.6452768718505341,2.1642634613152162e-08,0.9711589492648292,1.5747245374947143,1.4071579919256342e-07,1.0,67290.62868058863,1.0,29538.979305349607,0.892,0.5651967849183234,0.176963796260778,1.0,6331736.370807576,0.6271064706136725,0.0,-1644294965.6833136
9,2,reverse_geometric_x,LI,1000,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.057777404785156236,0.0,-16864.210107585892,-0.014808508431699563,0.0,-268.53629694468776,1,1000,0.33452504771060404,0.8596300671461243,8.767826591649092e-05,0.12365462897452403,0.44861031978251353,3.821604470880206e-05,0.9643125538347076,1.5710705942872942,0.000360082613662437,1.0,110713.6235370458,1.0,54620.36320195231,1.0,3245.754886175575,0.141798285531868,1.0,19980855.994951922,0.7888516794900192,0.0,-5214784622.3400345
9,2,bitrev_geometric_x,LI,1000,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.05749797821044916,0.0,-16026.688136187435,-0.20881673842260717,0.0,-434.7647299442668,1,1000,0.33007174131834177,0.6965188486515086,4.832024194205583e-06,0.14439228772837515,0.5441763352445856,3.304598039856289e-06,0.731850356466131,1.4899629849399678,1.7445143304043426e-05,1.0,51784.366600507936,1.0,36303.07091797942,1.0,59.96335780454824,0.0943071623727866,1.0,1740218.7841825988,0.883054273997825,0.0,-405609617.4138739
9,3,geometric_x,LI,1000,1.00000000000000e-10,2026,7777,6,1.00000000000000e-15,0.05724382400512686,0.0,-8622.292379296796,-0.23176663118984675,0.0,-491.1412837695342,1,1000,0.33332636256439085,0.66764120310656,1.4800554311243525e-07,0.16651221329638458,0.6452768718505341,2.1642634613152162e-08,0.8612026312321442,1.5712623085630855,0.0009421034624600862,1.0,34778.856938982026,1.0,17740.664136124793,1.0,2796.6037314473433,0.139799991258149,1.0,1949890.7144171735,0.7305204960745196,0.0,-565068415.2456245
9,3,reverse_geometric_x,LI,1000,1.00000000000000e-10,2026,7777,6,1.00000000000000e-15,0.0550251007080077,0.0,-10912.375045442215,-0.0343080408418861,0.0,-174.52364477701926,1,1000,0.33452504771060404,0.8596300671461243,8.767826591649092e-05,0.12365462897452403,0.44861031978251353,3.821604470880206e-05,0.8430067994678544,1.5369802627842837,0.005990549265678269,1.0,46627.96763497301,1.0,25947.421825015314,1.0,29287.509336226016,0.109103019046321,1.0,6017533.886874168,0.8689728580783228,0.0,-1168966852.7515967
9,3,bitrev_geometric_x,LI,1000,1.00000000000000e-10,2026,7777,6,1.00000000000000e-15,0.05514001846313477,0.0,-9399.855542930472,-0.20179886394221014,0.0,-288.5686881118698,1,1000,0.33007174131834177,0.6965188486515086,4.832024194205583e-06,0.14439228772837515,0.5441763352445856,3.304598039856289e-06,0.9358857133130865,1.635765258943566,0.006939539170096708,1.0,46208.60366322515,1.0,24244.627777525933,1.0,26944.339890568233,0.145995245378886,1.0,3944721.34121371,0.7623359459296015,0.0,-929745008.8395246
9,4,geometric_x,LI,1000,1.00000000000000e-10,2026,7777,8,1.00000000000000e-15,0.05426359176635747,0.0,-6124.039022867103,-0.1613070665777243,0.0,-67.18577189801543,1,1000,0.33332636256439085,0.66764120310656,1.4800554311243525e-07,0.16651221329638458,0.6452768718505341,2.1642634613152162e-08,0.9558751312569721,1.5740226069340668,1.5409975201188886e-07,1.0,22916.1635467405,1.0,10425.190904985215,0.306,-0.4802071838121773,0.171992017709634,1.0,1296589.922044107,0.6406727233442574,0.0,-280420357.5881324
9,4,reverse_geometric_x,LI,1000,1.00000000000000e-10,2026,7777,8,1.00000000000000e-15,0.056468009948730497,0.0,-7154.547145941559,-0.06285565382108071,0.0,-133.42013086635413,1,1000,0.33452504771060404,0.8596300671461243,8.767826591649092e-05,0.12365462897452403,0.44861031978251353,3.821604470880206e-05,0.69984059721481,1.418001244005307,0.00024023073191936143,1.0,22555.15586030317,1.0,14571.32455049035,1.0,477.21606911266457,0.0831569783367801,1.0,1479289.821278379,0.919467744610069,0.0,-192475516.46815485
9,4,bitrev_geometric_x,LI,1000,1.00000000000000e-10,2026,7777,8,1.00000000000000e-15,0.05655956268310551,0.0,-6573.794160467047,-0.05804094933073478,1.0,115.1547067487517,1,1000,0.33007174131834177,0.6965188486515086,4.832024194205583e-06,0.14439228772837515,0.5441763352445856,3.304598039856289e-06,0.985574277117493,1.6441266084546466,2.8830711072317205e-05,1.0,30320.217529604535,1.0,14972.065912407337,1.0,37.37304730097462,0.168533869207955,1.0,1483325.61788681,0.7017562844706428,0.0,-641851831.9284382
9,5,geometric_x,LI,1000,1.00000000000000e-10,2026,7777,10,1.00000000000000e-15,0.05736589431762719,0.0,-4050.4914961891022,-0.22802047475551035,0.0,-242.3743300537689,1,1000,0.33332636256439085,0.66764120310656,1.4800554311243525e-07,0.16651221329638458,0.6452768718505341,2.1642634613152162e-08,0.839592615515251,1.5672026809821311,0.0009353859884992192,1.0,13050.252979073884,1.0,6860.803978825668,1.0,711.2495160941129,0.132199986583988,1.0,554324.1583565143,0.7521172338482085,0.0,-144362483.3011106
