depth,q,kind,layer_mode,n_draws,rank_tol,rng_seed,xi_tie_seed,p,jsd_floor,wall_fsm,wall_quantile,wall_zscore,xi_fsm,xi_quantile,xi_zscore,n_fallbacks_fsm,n_fallbacks_ensemble,centroid_eps,entropy_eps,tailmass_eps,centroid_dstar,entropy_dstar,tailmass_dstar,centroid_fsm,entropy_fsm,tailmass_fsm,centroid_quantile,centroid_zscore,entropy_quantile,entropy_zscore,tailmass_quantile,tailmass_zscore,jsd_fsm,jsd_quantile,jsd_zscore,cosine_fsm,cosine_quantile,cosine_zscore
9,2,geometric_x,LI,500,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.05624198913574221,0.0,-15199.205830023733,-0.22155377363859108,0.0,-647.6340271162576,1,500,0.33332636256439085,0.66764120310656,1.4800554311243525e-07,0.16651221329638458,0.6452768718505341,2.1642634613152162e-08,0.9711589492648292,1.5747245374947143,1.4071579919256342e-07,1.0,74477.23327055044,1.0,33279.38046441141,0.89,0.629356115780864,0.176963581179449,1.0,7266958.506328209,0.6271066466174832,0.0,-2752998702.7451973
9,2,uniform_x,LI,500,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.05731296539306637,0.0,-17158.688503093144,-0.1898803543376033,0.0,-467.95420360526964,1,500,0.3296316478566138,0.699968271906579,5.229337723309656e-06,0.142866018323551,0.5385366424931454,3.5270013074284357e-06,0.8958928474471556,1.578701820793076,2.5892734419603395e-05,1.0,83570.27139994017,1.0,42691.16181835486,1.0,321.13213366948696,0.138179796125479,1.0,18755579.199296866,0.780023563158971,0.0,-4299763904.697516
9,2,harmonic_x,LI,500,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.0578446388244629,0.0,-10837.112174965021,0.05181747783273871,0.0,-556.1757791154171,1,500,0.33013747238655583,0.8004286383271423,4.670582165922977e-05,0.18938783057620412,0.7417626906359442,8.182331968045322e-06,1.1424648951439529,1.2889208482494063,5.764715393334222e-05,1.0,57520.36347579498,1.0,12815.575803852033,1.0,284.7030298458518,0.309121844152310,1.0,12837022.8016677,0.2905728259556127,0.0,-1129291846.8621519
9,2,reverse_geometric_x,LI,500,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.057777404785156236,0.0,-16614.36838082532,-0.014808508431699563,0.0,-247.55754448811913,1,500,0.33452504771060404,0.8596300671461243,8.767826591649092e-05,0.12365462897452403,0.44861031978251353,3.821604470880206e-05,0.9643125538347076,1.5710705942872942,0.000360082613662437,1.0,117955.94924440849,1.0,57305.04519867654,1.0,3180.964707352768,0.141798153350829,1.0,16093503.331418874,0.7888517992524174,0.0,-4729746216.490117
9,2,bitrev_geometric_x,LI,500,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.05749797821044916,0.0,-16931.292489508913,-0.20881673842260717,0.0,-615.0345280005558,1,500,0.33007174131834177,0.6965188486515086,4.832024194205583e-06,0.14439228772837515,0.5441763352445856,3.304598039856289e-06,0.731850356466131,1.4899629849399678,1.7445143304043426e-05,1.0,68003.0544164494,1.0,40646.97847571727,1.0,212.80870576833016,0.0943071534266761,1.0,12678519.548348574,0.8830542795288636,0.0,-3084396949.9220138
9,2,stern_brocot_x,LI,500,1.00000000000000e-10,2026,7777,4,1.00000000000000e-15,0.03839238484700501,0.0,-164588.64329442894,0.2438868976717019,0.0,-131.6120177905518,1,500,0.06791766230027767,0.2529449382235094,0.0008526567292108121,0.033755994053179916,0.17888697624757913,0.00033733392418427803,0.9126049633238354,1.6685654201657452,0.011685988957602467,1.0,1534952.6561803764,1.0,685631.603505016,1.0,270591.3380418535,0.199450592081979,1.0,12059954706.468033,0.7794175839103709,0.0,-726793873575.5664
9,3,geometric_x,LI,500,1.00000000000000e-10,2026,7777,6,1.00000000000000e-15,0.05724382400512686,0.0,-8560.924169243865,-0.23176663118984675,0.0,-518.9013352466762,1,500,0.33332636256439085,0.66764120310656,1.4800554311243525e-07,0.16651221329638458,0.6452768718505341,2.1642634613152162e-08,0.8612026312321442,1.5712623085630855,0.0009421034624600862,1.0,35185.70798511684,1.0,18771.26374605837,1.0,3556.527762232735,0.139800421728894,1.0,3052916.2393328715,0.7305202077095895,0.0,-958637681.5473653
9,3,uniform_x,LI,500,1.00000000000000e-10,2026,7777,6,1.00000000000000e-15,0.054869174957275446,0.0,-8846.762183802817,-0.20657702071173167,0.0,-288.8491988959093,1,500,0.3296316478566138,0.699968271906579,5.229337723309656e-06,0.142866018323551,0.5385366424931454,3.5270013074284357e-06,0.9463835209713239,1.6400303572791144,0.00738092310536981,1.0,43221.19478180543,1.0,23196.37456104124,1.0,28145.92660198883,0.148718337923915,1.0,4000774.2869295846,0.757050273602993,0.0,-858567893.3841472
9,3,harmonic_x,LI,500,1.00000000000000e-10,2026,7777,6,1.00000000000000e-15,0.05857324600219716,0.0,-5473.884433756688,0.023904066716233685,0.0,-526.6086936189548,1,500,0.33013747238655583,0.8004286383271423,4.670582165922977e-05,0.18938783057620412,0.7417626906359442,8.182331968045322e-06,0.9364210012272237,1.4632227969821987,0.00036627333924937216,1.0,27584.1164759836,1.0,10329.919751835054,1.0,628.5546339764002,0.189168519193861,1.0,2639122.6075440464,0.5292973401849119,0.0,-458343376.9425329
9,3,reverse_geometric_x,LI,500,1.00000000000000e-10,2026,7777,6,1.00000000000000e-15,0.0550251007080077,0.0,-9853.621201425967,-0.0343080408418861,0.0,-149.99723381107975,1,500,0.33452504771060404,0.8596300671461243,8.767826591649092e-05,0.12365462897452403,0.44861031978251353,3.821604470880206e-05,0.8430067994678544,1.5369802627842837,0.005990549265678269,1.0,48081.73284348772,1.0,26264.8116347743,1.0,25947.07309006087,0.109103163460820,1.0,4619575.933434439,0.8689727478223461,0.0,-1383857151.402998
