partition_kind,alpha,q,depth,layer_dependent,cell_index,bits,x_lo,x_hi,plog_lo,plog_hi,x_mid,plog_mid,cell_worst_err,cell_log2_ratio,path_intercept,free_cell_intercept,worst_candidate_type,worst_candidate_x,worst_candidate_plog,n_candidates
uniform_x,1/2,3,4,False,0,"(0, 0, 0, 0)",1.0,1.0625,0.0,0.0625,1.03125,0.03125,0.03187323864373392,0.020499698946776224,-0.043701171875,-0.01439666748046875,endpoint,1.0,0.0,2
uniform_x,1/2,3,4,False,1,"(0, 0, 0, 1)",1.0625,1.125,0.0625,0.125,1.09375,0.09375,0.02497703409366612,0.01739357313344691,-0.061767578125,-0.040305137634277344,endpoint,1.0625,0.0625,2
uniform_x,1/2,3,4,False,2,"(0, 0, 1, 0)",1.125,1.1875,0.125,0.1875,1.15625,0.15625,0.012473957307290956,0.014680257898353694,-0.068115234375,-0.061507225036621094,endpoint,1.125,0.125,2
uniform_x,1/2,3,4,False,3,"(0, 0, 1, 1)",1.1875,1.25,0.1875,0.25,1.21875,0.21875,0.0070208277261161415,0.012102144757793112,-0.079833984375,-0.07861614227294922,endpoint,1.1875,0.1875,2
uniform_x,1/2,3,4,False,4,"(0, 1, 0, 0)",1.25,1.3125,0.25,0.3125,1.28125,0.28125,0.017135404010621122,0.00989744521703349,-0.0771484375,-0.09213829040527344,endpoint,1.3125,0.3125,2
uniform_x,1/2,3,4,False,5,"(0, 1, 0, 1)",1.3125,1.375,0.3125,0.375,1.34375,0.34375,0.024943775347326794,0.007808371336705672,-0.0771484375,-0.10249614715576172,endpoint,1.375,0.375,2
uniform_x,1/2,3,4,False,6,"(0, 1, 1, 0)",1.375,1.4375,0.375,0.4375,1.40625,0.40625,0.028516917558470228,0.0058075172371053205,-0.079833984375,-0.11004638671875,endpoint,1.4375,0.4375,2
uniform_x,1/2,3,4,False,7,"(0, 1, 1, 1)",1.4375,1.5,0.4375,0.5,1.46875,0.46875,0.01678192357014526,0.0036661091402961027,-0.097900390625,-0.11509037017822266,endpoint,1.5,0.5,2
uniform_x,1/2,3,4,False,8,"(1, 0, 0, 0)",1.5,1.5625,0.5,0.5625,1.53125,0.53125,0.031442755594078026,0.0021368061346345173,-0.08349609375,-0.11788749694824219,endpoint,1.5625,0.5625,2
uniform_x,1/2,3,4,False,9,"(1, 0, 0, 1)",1.5625,1.625,0.5625,0.625,1.59375,0.59375,0.02141826276491717,0.0003515426016405268,-0.09521484375,-0.11873340606689453,D,1.6031901041666667,0.6031901041666666,3
