source_run,partition_kind,exponent,q,depth,layer_dependent,single_err,opt_err,free_err,improve,gap,worst_cell_index,worst_cell_bits,worst_cell_x_lo,worst_cell_x_hi,time
partition_2026-03-18,uniform_x,1/2,3,4,False,0.04801885319811061,0.03187323864373392,0.010422740025294662,0.016145614554376693,0.021450498618439257,0,"(0, 0, 0, 0)",1.0,1.0625,6.180574417114258
partition_2026-03-18,geometric_x,1/2,3,4,False,0.04801885319811061,0.033031134833803946,0.007553957776491171,0.014987718364306665,0.025477177057312776,11,"(1, 0, 1, 1)",1.6104903319492543,1.681792830507429,6.189020156860352
partition_2026-03-18,harmonic_x,1/2,3,4,False,0.04801885319811061,0.03349626844110273,0.007685177394208464,0.014522584757007878,0.025811091046894268,1,"(0, 0, 0, 1)",1.032258064516129,1.0666666666666667,6.115450859069824
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,False,0.04801885319811061,0.03349454809425883,0.018302927470747927,0.014524305103851783,0.015191620623510902,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,6.165973901748657
partition_2026-03-18,uniform_x,1/2,3,4,True,0.04801885319811061,0.024510243054245925,0.010422740025294662,0.023508610143864687,0.014087503028951263,0,"(0, 0, 0, 0)",1.0,1.0625,6.191767692565918
partition_2026-03-18,geometric_x,1/2,3,4,True,0.04801885319811061,0.021838262465232617,0.007553957776491171,0.026180590732877995,0.014284304688741447,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,6.267528057098389
partition_2026-03-18,harmonic_x,1/2,3,4,True,0.04801885319811061,0.01922014925816906,0.007685177394208464,0.02879870393994155,0.011534971863960597,12,"(1, 1, 0, 0)",1.6,1.6842105263157894,6.404299020767212
partition_2026-03-18,mirror_harmonic_x,1/2,3,4,True,0.04801885319811061,0.02832478560795559,0.018302927470747927,0.01969406759015502,0.010021858137207663,15,"(1, 1, 1, 1)",1.967741935483871,2.0,6.2008750438690186
partition_2026-03-18,uniform_x,1/2,5,4,False,0.04801885319811061,0.022004631387038523,0.010422740025294662,0.02601422181107209,0.011581891361743861,0,"(0, 0, 0, 0)",1.0,1.0625,6.089360237121582
partition_2026-03-18,geometric_x,1/2,5,4,False,0.04801885319811061,0.02307544318975844,0.007553957776491171,0.024943410008352172,0.01552148541326727,7,"(0, 1, 1, 1)",1.3542555469368927,1.4142135623730951,6.245658874511719
partition_2026-03-18,harmonic_x,1/2,5,4,False,0.04801885319811061,0.02249468263029177,0.007685177394208464,0.025524170567818843,0.014809505236083305,15,"(1, 1, 1, 1)",1.8823529411764706,2.0,6.230978965759277
partition_2026-03-18,mirror_harmonic_x,1/2,5,4,False,0.04801885319811061,0.022183459405970805,0.018302927470747927,0.025835393792139807,0.003880531935222878,0,"(0, 0, 0, 0)",1.0,1.1176470588235294,6.0695109367370605
partition_2026-03-18,uniform_x,1/2,5,4,True,0.04801885319811061,0.012064651226631138,0.010422740025294662,0.03595420197147947,0.0016419112013364764,11,"(1, 0, 1, 1)",1.6875,1.75,5.836076974868774
partition_2026-03-18,geometric_x,1/2,5,4,True,0.04801885319811061,0.010250724537867028,0.007553957776491171,0.03776812866024358,0.002696766761375857,0,"(0, 0, 0, 0)",1.0,1.0442737824274138,5.937188148498535
