partition_kind,exponent,q,depth,gap_li,gap_ld,gap_reduction,opt_err_li,opt_err_ld,free_err,worst_cell_x_mid_li,worst_cell_x_mid_ld,worst_cell_shift,worst_cell_plog_mid_li,worst_cell_plog_mid_ld,param_to_cell_ratio_li,param_to_cell_ratio_ld
geometric_x,1/2,1,3,0.02343637120068621,0.01658184323328899,0.292473946102907,0.038007769071102336,0.031153241103705116,0.014571397870416124,1.04525386633263,1.04525386633263,0.0,0.06385337983609873,0.06385337983609873,,
geometric_x,1/2,1,4,0.03147827965308705,0.02280422498399271,0.275556820915519,0.03903223742957822,0.03035818276048388,0.007553957776491171,1.95760328069857,1.95760328069857,0.0,0.9690884243086474,0.9690884243086474,,
geometric_x,1/2,1,5,0.037423663693869416,0.026007175562447582,0.305060675641226,0.04126605285706291,0.029849564725641077,0.003842389163193495,1.01094857432706,1.9785720620877,0.96762348776064,0.015709611038839808,0.9844596110388398,,
geometric_x,1/2,1,6,0.04036282672709643,0.027647978112974304,0.315013829434953,0.04230006320868979,0.02958521459456766,0.0019372364815933578,1.55060761282289,1.45304930057885,0.09755831224403999,0.6328336530698511,0.5390836530698512,,
geometric_x,1/2,1,7,0.04385817298904152,0.028369710249066288,0.353148835995636,0.044830973906115686,0.029342511166140447,0.0009728009170741604,1.00815959358225,1.68635881488837,0.6781992213061199,0.011724038286847142,0.7539115382868473,,
geometric_x,1/2,2,3,0.006539425768010299,0.0013585522080902523,0.792252063669558,0.021110823638426424,0.015929950078506377,0.014571397870416124,1.04525386633263,1.13985742383399,0.09460355750135996,0.06385337983609873,0.18885337983609857,,
geometric_x,1/2,2,4,0.023452373042899568,0.008322409411125654,0.645135722687758,0.031006330819390738,0.015876367187616824,0.007553957776491171,1.4455198541563,1.26934868336225,0.17617117079404987,0.5315884243086474,0.3440884243086471,,
geometric_x,1/2,2,5,0.03332772934994191,0.012254718420497017,0.632296629277615,0.037170118513135404,0.016097107583690512,0.003842389163193495,1.42969718467507,1.85408786025982,0.4243906755847502,0.5157096110388398,0.8907096110388398,,
geometric_x,1/2,2,6,0.038495121289080815,0.014159871102097155,0.632164528181040,0.04043235777067417,0.016097107583690512,0.0019372364815933578,1.42191345038253,1.84399360574636,0.42208015536383003,0.5078336530698513,0.8828336530698512,,
geometric_x,1/2,2,7,0.04144053070779282,0.014964829396489193,0.638884224190809,0.04241333162486698,0.015937630313563354,0.0009728009170741604,1.41805308227113,1.0027149505564,0.41533813171473,0.5039115382868472,0.0039115382868469715,,
geometric_x,1/2,3,3,0.0074332335166223985,0.007367124680359688,0.00889368484319464,0.022004631387038523,0.021938522550775812,0.014571397870416124,1.04525386633263,1.75790045845839,0.7126465921257599,0.06385337983609873,0.8138533798360985,,
geometric_x,1/2,3,4,0.025477177057312776,0.014284304688741447,0.439329378737375,0.033031134833803946,0.021838262465232617,0.007553957776491171,1.64614158122834,1.38423455465499,0.2619070265733501,0.7190884243086472,0.4690884243086473,,
geometric_x,1/2,3,5,0.03235839690503611,0.01802200859489917,0.443050017348223,0.03620078606822961,0.021864397758092666,0.003842389163193495,1.01094857432706,1.49299528676646,0.4820467124393999,0.015709611038839808,0.5782096110388399,,
geometric_x,1/2,3,6,0.03976141203946297,0.019977696372254033,0.497560691445608,0.04169864852105633,0.02191493285384739,0.0019372364815933578,1.03864933072432,1.56749262267286,0.52884329194854,0.0547086530698513,0.6484586530698513,,
geometric_x,1/2,3,7,0.04392221886637112,0.02087164712902066,0.524804354886521,0.04489501978344528,0.021844448046094818,0.0009728009170741604,1.0027149505564,1.52147859597138,0.51876364541498,0.0039115382868469715,0.6054740382868473,,
geometric_x,1/2,3,8,0.04586172625378307,0.021350822368323627,0.534452273990397,0.046349166350692056,0.021838262465232617,0.0004874400969089899,1.0013556375251,1.41230158529518,0.41094594777007987,0.00195444707292352,0.49804819707292325,,
geometric_x,1/2,5,3,0.00024035496604869408,0.00024035496604869408,0.000000000000000,0.014811752836464818,0.014811752836464818,0.014571397870416124,1.04525386633263,1.04525386633263,0.0,0.06385337983609873,0.06385337983609873,,
geometric_x,1/2,5,4,0.01552148541326727,0.002696766761375857,0.826255884048910,0.02307544318975844,0.010250724537867028,0.007553957776491171,1.38423455465499,1.02213689121371,0.3620976634412798,0.4690884243086473,0.03158842430864739,,
geometric_x,1/2,5,5,0.026007175562447582,0.006346337169052831,0.755977454998363,0.029849564725641077,0.010188726332246326,0.003842389163193495,1.9785720620877,1.85408786025982,0.12448420182788,0.9844596110388398,0.8907096110388398,,
geometric_x,1/2,5,6,0.036051464645213555,0.008189608937891571,0.772835611022009,0.03798870112680691,0.010126845419484928,0.0019372364815933578,1.02746101383767,1.55060761282289,0.52314659898522,0.03908365306985117,0.6328336530698511,,
geometric_x,1/2,5,7,0.041625282638607194,0.00900799592023598,0.783593159031643,0.04259808355568136,0.009980796837310141,0.0009728009170741604,1.01363380048133,1.54639785154647,0.5327640510651401,0.01953653828684725,0.6289115382868473,,
geometric_x,1/2,7,3,0.00024035496604869408,0.00024035496604869408,0.000000000000000,0.014811752836464818,0.014811752836464818,0.014571397870416124,1.04525386633263,1.04525386633263,0.0,0.06385337983609873,0.06385337983609873,,
geometric_x,1/2,7,4,0.006125405984642617,0.005359701952238615,0.125004617542698,0.013679363761133788,0.012913659728729786,0.007553957776491171,1.64614158122834,1.95760328069857,0.31146169947022995,0.7190884243086472,0.9690884243086474,,
geometric_x,1/2,7,5,0.014610420633518965,0.009147926008206011,0.373876616035338,0.01845280979671246,0.012990315171399506,0.003842389163193495,1.9785720620877,1.07882406667104,0.8997479954166601,0.9844596110388398,0.10945961103883992,,
geometric_x,1/2,7,6,0.028675322554060516,0.011053078689806149,0.614543875872078,0.030612559035653873,0.012990315171399506,0.0019372364815933578,1.98922801319398,1.08463426521119,0.9045937479827899,0.9922086530698512,0.11720865306985143,,
geometric_x,1/2,7,7,0.03598847232453212,0.012017514254325345,0.666073231840591,0.03696127324160628,0.012990315171399506,0.0009728009170741604,1.0414539421944,1.08756304743928,0.04610910524487988,0.0585990382868471,0.1210990382868472,,
harmonic_x,1/2,1,3,0.02342906544682989,0.015157359515124572,0.353053174505709,0.035964847810087595,0.027693141878382274,0.012535782363257702,1.88888888888889,1.39393939393939,0.4949494949494999,0.9175378398080271,0.47916783669855956,,
harmonic_x,1/2,1,4,0.02912890854871724,0.01861745630043965,0.360859804640380,0.036814085942925706,0.026302633694648112,0.007685177394208464,1.36231884057971,1.01612903225806,0.3461898083216499,0.44606439489946814,0.023083613113041242,,
harmonic_x,1/2,1,5,0.03521342209455362,0.021568185759676787,0.387501001698648,0.03945303926878258,0.025807802933905742,0.004239617174228956,1.02406554019457,1.62051282051282,0.5964472803182501,0.03430805077529531,0.6964504344274922,,
harmonic_x,1/2,1,6,0.041487266903850184,0.02381549709491961,0.425956471171895,0.04371240411416954,0.026040634305238963,0.002225137210319355,1.61012658227848,1.98461538461538,0.37448880233689996,0.6871741122198902,0.9888594423947996,,
harmonic_x,1/2,1,7,0.04512214480088943,0.02444859943192819,0.458168499307545,0.0462620826295112,0.025588537260549965,0.0011399378286217766,1.00589779218774,1.60503144654088,0.59913365435314,0.008483722444671484,0.6826015635931517,,
harmonic_x,1/2,2,3,0.010775176717347365,0.004405453487756466,0.591147913085828,0.023310959080605067,0.016941235851014168,0.012535782363257702,1.39393939393939,1.1047619047619,0.2891774891774901,0.47916783669855956,0.14373547746144957,,
harmonic_x,1/2,2,4,0.023651167373975976,0.009321247911481407,0.605886349536479,0.03133634476818444,0.01700642530568987,0.007685177394208464,1.36231884057971,1.01612903225806,0.3461898083216499,0.44606439489946814,0.023083613113041242,,
harmonic_x,1/2,2,5,0.03146990897500483,0.012952426099103322,0.588418698338439,0.03570952614923379,0.017192043273332278,0.004239617174228956,1.96969696969697,1.96969696969697,0.0,0.9779736936700011,0.9779736936700011,,
harmonic_x,1/2,2,6,0.03723310866841122,0.014714884918012011,0.604790321188083,0.03945824587873058,0.016940022128331365,0.002225137210319355,1.04491536718646,1.98461538461538,0.9397000174289201,0.06338609610044453,0.9888594423947996,,
harmonic_x,1/2,2,7,0.04255291036873887,0.01588757926285401,0.626639420778004,0.04369284819736065,0.017027517091475784,0.0011399378286217766,1.60503144654088,1.45043656908064,0.15459487746023992,0.6826015635931517,0.5364872045508856,,
harmonic_x,1/2,3,3,0.006698567200910754,0.006684366894911359,0.00211990199896239,0.019234349564168456,0.01922014925816906,0.012535782363257702,1.18681318681319,1.68888888888889,0.5020757020757001,0.2470928619647723,0.7560744171139108,,
harmonic_x,1/2,3,4,0.025811091046894268,0.011534971863960597,0.553100183056828,0.03349626844110273,0.01922014925816906,0.007685177394208464,1.0494623655914,1.64210526315789,0.5926428975664901,0.06965043156749236,0.7155466105313005,,
harmonic_x,1/2,3,5,0.035279403083465,0.014980532083940106,0.575374559243569,0.03951902025769396,0.01922014925816906,0.004239617174228956,1.58048780487805,1.62051282051282,0.04002501563477012,0.6603699033791788,0.6964504344274922,,
harmonic_x,1/2,3,6,0.04149749139156921,0.017175933948341816,0.586097053764765,0.043722628601888566,0.01940107115866117,0.002225137210319355,1.53298909925416,1.3545352743561,0.17845382489805983,0.6163474383483671,0.4377979642124874,,
harmonic_x,1/2,3,7,0.04520922852207028,0.018080211429547285,0.600076974976008,0.046349166350692056,0.01922014925816906,0.0011399378286217766,1.00196078431373,1.60503144654088,0.60307066222715,0.0028260440787633897,0.6826015635931517,,
harmonic_x,1/2,3,8,0.04654964640994831,0.01864332846624095,0.599495809225812,0.047126467201876424,0.01922014925816906,0.0005768207919281125,1.6025078369906,1.6025078369906,0.0,0.6803314122947627,0.6803314122947627,,
harmonic_x,1/2,5,3,0.00034736424997826483,0.00030605341423561513,0.118926561225672,0.012883146613235967,0.012841835777493317,0.012535782363257702,1.88888888888889,1.1047619047619,0.78412698412699,0.9175378398080271,0.14373547746144957,,
harmonic_x,1/2,5,4,0.014809505236083305,0.00322476704697589,0.782250183543016,0.02249468263029177,0.010909944441184354,0.007685177394208464,1.94117647058824,1.30666666666667,0.63450980392157,0.9569312781081141,0.3858911536193273,,
harmonic_x,1/2,5,5,0.027856209919079136,0.006670327266955398,0.760544335129138,0.03209582709330809,0.010909944441184354,0.004239617174228956,1.09409701928697,1.31972789115646,0.22563087186949016,0.1297406750939913,0.40024049735076317,,
harmonic_x,1/2,5,6,0.03667573091337142,0.00880340213240191,0.759966552454110,0.03890086812369077,0.011028539342721267,0.002225137210319355,1.44637385086823,1.07114845938375,0.3752253914844801,0.5324405004793025,0.09915844906428647,,
harmonic_x,1/2,5,7,0.040848085497132966,0.0097647467578746,0.760949708192322,0.04198802332575474,0.010904684586496375,0.0011399378286217766,1.00986586162896,1.9922480620155,0.9823822003865401,0.014163675536864461,0.994397293770624,,
harmonic_x,1/2,7,3,0.00034736424997826483,0.00030605341423561513,0.118926561225672,0.012883146613235967,0.012841835777493317,0.012535782363257702,1.88888888888889,1.1047619047619,0.78412698412699,0.9175378398080271,0.14373547746144957,,
harmonic_x,1/2,7,4,0.004085151736198816,0.004377266411226401,-0.0715064442867903,0.01177032913040728,0.012062443805434865,0.007685177394208464,1.42292490118577,1.0494623655914,0.37346253559437015,0.5088595216353646,0.06965043156749236,,
harmonic_x,1/2,7,5,0.021547445631826777,0.0079203490027197,0.632422833868489,0.025787062806055732,0.012159966176948655,0.004239617174228956,1.96969696969697,1.96969696969697,0.0,0.9779736936700011,0.9779736936700011,,
harmonic_x,1/2,7,6,0.033286770336361786,0.00983730659511551,0.704467976445001,0.03551190754668114,0.012062443805434865,0.002225137210319355,1.79029733959311,1.06225895316804,0.7280383864250701,0.840199215831395,0.08713550334684844,,
harmonic_x,1/2,7,7,0.03963176812859588,0.011020028348326879,0.721939523047030,0.04077170595721766,0.012159966176948655,0.0011399378286217766,1.78399378399378,1.9922480620155,0.20825427802172003,0.8351105884549859,0.994397293770624,,
mirror_harmonic_x,1/2,1,3,0.008123390849732088,0.0064850374472664625,0.201683438944669,0.03836943742117616,0.03673108401871054,0.030246046571444075,1.11111111111111,1.96666666666667,0.8555555555555598,0.15200309344505006,0.9757524537533229,,
